subcategoria,campo_unificado,var,var_alias,description,5,6,is_category,values
Antecedentes Personales,edad_dx_diab_tipo2,edad_diab,edad_diagnostico_diab_tipo2,¿Aproximadamente a qué edad se le diagnosticó Diabetes Tipo 2?,,abierta,FALSE,"{'min': 7.0, 'max': 70.0}"
Antecedentes Personales,tiene_diagnostico_prediab,dich_pre,tiene_diagnostico_prediab,¿Alguna vez le ha dicho un médico/dietista/nutriólogo que tiene o tuvo prediabetes?,visible,options,TRUE,"{'options': {1: 'SI', 2: 'NO', 3: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_prediab,edad_pre,edad_diagnostico_prediab,¿Aproximadamente a qué edad se le diagnosticó prediabetes?,,abierta,FALSE,"{'min': 8.0, 'max': 99.0}"
Antecedentes Personales,padece_hipertensión_arterial,dich_hiper,padece_hipertensión_arterial,¿Algún médico te ha dicho que padeces de Hipertensión Arterial?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_hipertensión_arterial,edad_hiper,edad_diagnostico_hipertensión_arterial,¿Aproximadamente a qué edad se le diagnosticó Hipertensión Arterial?,visible,abierta,FALSE,"{'min': 12.0, 'max': 68.0}"
Antecedentes Personales,padece_problemas_cardiacos,dich_cardi,padece_problemas_cardiacos,¿Algún médico te ha dicho que padeces de problemas Cardiopatía?,,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_xd_problemas_cardiacos,edad_cardi,edad_diagnostico_problemas_cardiacos,¿Aproximadamente a qué edad se le diagnosticó problemas Cardiopatía?,,abierta,FALSE,"{'min': 4.0, 'max': 72.0}"
Antecedentes Personales,padece_retinopatias,dich_reti,padece_retinopatias,¿Algún médico te ha dicho que padeces Retinopatía?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_retinopatias,edad_reti,edad_diagnostico_retinopatias,¿Aproximadamente a qué edad se le diagnosticó Retinopatía?,visible,abierta,FALSE,"{'min': 13.0, 'max': 59.0}"
Antecedentes Personales,padece_insuficiencia_renal,dich_renal,padece_insuficiencia_renal,¿Algún médico te ha dicho que padeces de Insuficiencia Renal?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_insuficiencia_renal,edad_renal,edad_diagnostico_insuficiencia_renal,¿Aproximadamente a qué edad se le diagnosticó Insuficiencia Renal?,visible,abierta,FALSE,"{'min': 13.0, 'max': 70.0}"
Antecedentes Personales,padece_colesterol_alto,dich_coles,padece_colesterol_alto,¿Algún médico te ha dicho que padeces de Colesterol Alto?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_colesterol_alto,edad_coles,edad_diagnostico_colesterol_alto,¿Aproximadamente a qué edad se le diagnosticó que padece de Colesterol Alto?,visible,abierta,FALSE,"{'min': 3.0, 'max': 65.0}"
Antecedentes Personales,padece_trigliceridos_alto,dich_trigl,padece_trigliceridos_alto,¿Algún médico te ha dicho que padeces de Triglicéridos Altos?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_trigliceridos_alto,edad_trigl,edad_diagnostico_trigliceridos_alto,¿Aproximadamente a qué edad se le diagnosticó que padece de Triglicéridos Altos?,visible,abierta,FALSE,"{'min': 11.0, 'max': 65.0}"
Antecedentes Personales,padece_cancer_mama,dich_cmama,padece_cancer_mama,¿Algún médico te ha dicho que padeces de Cáncer de mama?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_cancer_mama,edad_cmama,edad_diagnostico_cancer_mama,¿Aproximadamente a qué edad se le diagnosticó el Cáncer de Mama?,visible,abierta,FALSE,"{'min': 13.0, 'max': 58.0}"
Antecedentes Personales,padece_cancer_prostata,dich_cpros,padece_cancer_prostata,¿Algún médico te ha dicho que padeces de Cáncer de Próstata?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_cancer_prostata,edad_cpros,edad_diagnostico_cancer_prostata,¿Aproximadamente a qué edad se le diagnosticó el Cáncer de Próstata?,visible,abierta,FALSE,"{'min': 51.0, 'max': 68.0}"
Antecedentes Personales,padece_cancer_colon,dich_colon,padece_cancer_colon,¿Algún médico te ha dicho que padeces de Cáncer de Colon?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_cancer_colon,edad_colon,edad_diagnostico_cancer_colon,¿Aproximadamente a qué edad se le diagnosticó el Cáncer de Colon?,visible,abierta,FALSE,"{'min': 49.0, 'max': 49.0}"
Antecedentes Personales,padece_otro_cancer,dich_cotro,padece_otro_cancer,¿Algún médico te ha dicho que padeces de otro tipo de cáncer?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_otro_cancer,edad_cotro,edad_diagnostico_otro_cancer,¿Aproximadamente a qué edad se le diagnosticó el otro tipo de cáncer?,visible,abierta,FALSE,"{'min': 29.0, 'max': 74.0}"
Antecedentes Personales,padece_enf_pulmonar_obstructiva,dich_pulmo,padece_enf._pulmonar_obstructiva,¿Algún médico te ha dicho que padeces de enfermendad pulmonar obstructiva?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_enf_pulmonar_obstructiva,edad_pulmo,edad_diagnostico_enf._pulmonar_obstructiva,¿Aproximadamente a qué edad se le diagnosticó la enfermendad pulmonar obstructiva?,visible,abierta,FALSE,"{'min': 13.0, 'max': 68.0}"
Antecedentes Personales,padece_neuropatia,dich_neuro,padece_neuropatia,¿Algún médico te ha dicho que padeces de Neuropatía?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_diagnostico_neuropatia,edad_neuro,edad_diagnostico_neuropatia,¿Aproximadamente a qué edad se le diagnosticó la Neuropatía?,visible,abierta,FALSE,"{'min': 8.0, 'max': 75.0}"
Antecedentes Personales,padece_asma,dich_asma,padece_asma,¿Algún médico te ha dicho que padeces de Asma?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI', 2: 'NO QUIERO RESPONDER'}, 'is_category': 'true'}"
Antecedentes Personales,edad_dx_asma,edad_asma,edad_diagnostico_asma,¿Aproximadamente a qué edad se le diagnosticó el Asma?,visible,abierta,FALSE,"{'min': 1.0, 'max': 63.0}"
Antecedentes Personales,no_padeces_enf_cronicas,nr_dich1,no_padeces_enf._cronicas,¿Algún médico te ha dicho que no padeces de ninguna enfermedades crónicas?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Personales,no_quiere_responder_enf,nr_dich2,no_deseo_responder_sus_enf._cronicas,¿No deseo responder sobre las enfermedades crónicas que padezco?,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,num_her,num_her,cantidad_hermanos,¿Cuántos hermanos tienes?,visible,rango=0..10,FALSE,"{'min': 0.0, 'max': 10.0}"
Antecedentes Familiares,edad_hno_1,her1_edad,edad_fallecio_hno._1,¿Cuál es su edad? ¿A qué edad falleció?(Hermano 1),visible,abierta,FALSE,"{'min': 1.0, 'max': 85.0}"
Antecedentes Familiares,edad_hno_2,her2_edad,edad_fallecio_hno._2,¿Cuál es su edad? ¿A qué edad falleció?(Hermano 2),visible,abierta,FALSE,"{'min': 1.0, 'max': 91.0}"
Antecedentes Familiares,edad_hno_3,her3_edad,edad_fallecio_hno._3,¿Cuál es su edad? ¿A qué edad falleció?(Hermano 3),visible,abierta,FALSE,"{'min': 5.0, 'max': 86.0}"
Antecedentes Familiares,edad_hno_4,her4_edad,edad_fallecio_hno._4,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 4),visible,abierta,FALSE,"{'min': 1.0, 'max': 74.0}"
Antecedentes Familiares,edad_fallecio_hno._5,her5_edad,edad_fallecio_hno._5,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 5),visible,abierta,FALSE,"{'min': 1.0, 'max': 84.0}"
Antecedentes Familiares,edad_fallecio_hno._6,her6_edad,edad_fallecio_hno._6,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 6),visible,abierta,FALSE,"{'min': 1.0, 'max': 99.0}"
Antecedentes Familiares,edad_fallecio_hno._7,her7_edad,edad_fallecio_hno._7,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 7),visible,abierta,FALSE,"{'min': 2.0, 'max': 99.0}"
Antecedentes Familiares,edad_fallecio_hno._8,her8_edad,edad_fallecio_hno._8,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 8),visible,abierta,FALSE,"{'min': 2.0, 'max': 75.0}"
Antecedentes Familiares,edad_fallecio_hno._9,her9_edad,edad_fallecio_hno._9,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 9),visible,abierta,FALSE,"{'min': 2.0, 'max': 78.0}"
Antecedentes Familiares,edad_fallecio_hno._10,her10_edad,edad_fallecio_hno._10,¿Cuál es su edad? ¿A qué edad falleció? (Hermano 10),visible,abierta,FALSE,"{'min': 1.0, 'max': 73.0}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno_1,her1_sobr,tiene_sobrepeso_u_obes_hno._1,¿Tiene sobrepeso u obesidad? (Hermano 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno_2,her2_sobr,tiene_sobrepeso_u_obes_hno._2,¿Tiene sobrepeso u obesidad? (Hermano 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno_3,her3_sobr,tiene_sobrepeso_u_obes_hno._3,¿Tiene sobrepeso u obesidad? (Hermano 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno_4,her4_sobr,tiene_sobrepeso_u_obes_hno._4,¿Tiene sobrepeso u obesidad? (Hermano 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._5,her5_sobr,tiene_sobrepeso_u_obes_hno._5,¿Tiene sobrepeso u obesidad? (Hermano 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._6,her6_sobr,tiene_sobrepeso_u_obes_hno._6,¿Tiene sobrepeso u obesidad? (Hermano 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._7,her7_sobr,tiene_sobrepeso_u_obes_hno._7,¿Tiene sobrepeso u obesidad? (Hermano 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._8,her8_sobr,tiene_sobrepeso_u_obes_hno._8,¿Tiene sobrepeso u obesidad? (Hermano 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._9,her9_sobr,tiene_sobrepeso_u_obes_hno._9,¿Tiene sobrepeso u obesidad? (Hermano 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hno._10,her10_sobr,tiene_sobrepeso_u_obes_hno._10,¿Tiene sobrepeso u obesidad? (Hermano 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno_1,her1_diab,tiene_diab_hno._1,¿Tiene diabetes? (Hermano 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno_2,her2_diab,tiene_diab_hno._2,¿Tiene diabetes? (Hermano 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno_3,her3_diab,tiene_diab_hno._3,¿Tiene diabetes? (Hermano 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno_4,her4_diab,tiene_diab_hno._4,¿Tiene diabetes? (Hermano 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._5,her5_diab,tiene_diab_hno._5,¿Tiene diabetes? (Hermano 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._6,her6_diab,tiene_diab_hno._6,¿Tiene diabetes? (Hermano 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._7,her7_diab,tiene_diab_hno._7,¿Tiene diabetes? (Hermano 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._8,her8_diab,tiene_diab_hno._8,¿Tiene diabetes? (Hermano 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._9,her9_diab,tiene_diab_hno._9,¿Tiene diabetes? (Hermano 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hno._10,her10_diab,tiene_diab_hno._10,¿Tiene diabetes? (Hermano 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,vivo_muerto_hno_1,her1_vivo,esta_vivo_hno._1,¿Está vivo? (Hermano 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,vivo_muerto_hno_2,her2_vivo,esta_vivo_hno._2,¿Está vivo? (Hermano 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,vivo_muerto_hno_3,her3_vivo,esta_vivo_hno._3,¿Está vivo? (Hermano 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,vivo_muerto_hno_4,her4_vivo,esta_vivo_hno._4,¿Está vivo? (Hermano 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._5,her5_vivo,esta_vivo_hno._5,¿Está vivo? (Hermano 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._6,her6_vivo,esta_vivo_hno._6,¿Está vivo? (Hermano 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._7,her7_vivo,esta_vivo_hno._7,¿Está vivo? (Hermano 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._8,her8_vivo,esta_vivo_hno._8,¿Está vivo? (Hermano 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._9,her9_vivo,esta_vivo_hno._9,¿Está vivo? (Hermano 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_hno._10,her10_vivo,esta_vivo_hno._10,¿Está vivo? (Hermano 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,cantidad_tios,num_tio,cantidad_tios,¿Cuántos tíos tienes?,visible,abierta,FALSE,"{'min': 0.0, 'max': 20.0}"
Antecedentes Familiares,edad_tio_1,tio1_edad,edad_tio_1,¿Cuál es su edad? ¿A qué edad falleció? (Tío 1),visible,abierta,FALSE,"{'min': 1.0, 'max': 867.0}"
Antecedentes Familiares,edad_tio_2,tio2_edad,edad_tio_2,¿Cuál es su edad? ¿A qué edad falleció? (Tío 2),visible,abierta,FALSE,"{'min': 1.0, 'max': 104.0}"
Antecedentes Familiares,edad_tio_3,tio3_edad,edad_tio_3,¿Cuál es su edad? ¿A qué edad falleció? (Tío 3),visible,abierta,FALSE,"{'min': 2.0, 'max': 98.0}"
Antecedentes Familiares,edad_tio_4,tio4_edad,edad_tio_4,¿Cuál es su edad? ¿A qué edad falleció? (Tío 4),visible,abierta,FALSE,"{'min': 2.0, 'max': 531.0}"
Antecedentes Familiares,edad_tio_5,tio5_edad,edad_tio_5,¿Cuál es su edad? ¿A qué edad falleció? (Tío 5),visible,abierta,FALSE,"{'min': 2.0, 'max': 100.0}"
Antecedentes Familiares,edad_tio_6,tio6_edad,edad_tio_6,¿Cuál es su edad? ¿A qué edad falleció? (Tío 6),visible,abierta,FALSE,"{'min': 2.0, 'max': 102.0}"
Antecedentes Familiares,edad_tio_7,tio7_edad,edad_tio_7,¿Cuál es su edad? ¿A qué edad falleció? (Tío 7),visible,abierta,FALSE,"{'min': 2.0, 'max': 100.0}"
Antecedentes Familiares,edad_tio_8,tio8_edad,edad_tio_8,¿Cuál es su edad? ¿A qué edad falleció? (Tío 8),visible,abierta,FALSE,"{'min': 2.0, 'max': 120.0}"
Antecedentes Familiares,edad_tio_9,tio9_edad,edad_tio_9,¿Cuál es su edad? ¿A qué edad falleció? (Tío 9),visible,abierta,FALSE,"{'min': 2.0, 'max': 116.0}"
Antecedentes Familiares,edad_tio_10,tio10_edad,edad_tio_10,¿Cuál es su edad? ¿A qué edad falleció? (Tío 10),visible,abierta,FALSE,"{'min': 2.0, 'max': 108.0}"
Antecedentes Familiares,edad_tio_11,tio11_edad,edad_tio_11,¿Cuál es su edad? ¿A qué edad falleció? (Tío 11),visible,abierta,FALSE,"{'min': 2.0, 'max': 106.0}"
Antecedentes Familiares,edad_tio_12,tio12_edad,edad_tio_12,¿Cuál es su edad? ¿A qué edad falleció? (Tío 12),visible,abierta,FALSE,"{'min': 2.0, 'max': 104.0}"
Antecedentes Familiares,edad_tio_13,tio13_edad,edad_tio_13,¿Cuál es su edad? ¿A qué edad falleció? (Tío 13),visible,abierta,FALSE,"{'min': 1.0, 'max': 551.0}"
Antecedentes Familiares,edad_tio_14,tio14_edad,edad_tio_14,¿Cuál es su edad? ¿A qué edad falleció? (Tío 14),visible,abierta,FALSE,"{'min': 2.0, 'max': 96.0}"
Antecedentes Familiares,edad_tio_15,tio15_edad,edad_tio_15,¿Cuál es su edad? ¿A qué edad falleció? (Tío 15),visible,abierta,FALSE,"{'min': 2.0, 'max': 94.0}"
Antecedentes Familiares,edad_tio_16,tio16_edad,edad_tio_16,¿Cuál es su edad? ¿A qué edad falleció? (Tío 16),visible,abierta,FALSE,"{'min': 2.0, 'max': 92.0}"
Antecedentes Familiares,edad_tio_17,tio17_edad,edad_tio_17,¿Cuál es su edad? ¿A qué edad falleció? (Tío 17),visible,abierta,FALSE,"{'min': 2.0, 'max': 90.0}"
Antecedentes Familiares,edad_tio_18,tio18_edad,edad_tio_18,¿Cuál es su edad? ¿A qué edad falleció? (Tío 18),visible,abierta,FALSE,"{'min': 2.0, 'max': 88.0}"
Antecedentes Familiares,edad_tio_19,tio19_edad,edad_tio_19,¿Cuál es su edad? ¿A qué edad falleció? (Tío 19),visible,abierta,FALSE,"{'min': 2.0, 'max': 87.0}"
Antecedentes Familiares,edad_tio_20,tio20_edad,edad_tio_20,¿Cuál es su edad? ¿A qué edad falleció? (Tío 20),visible,abierta,FALSE,"{'min': 17.0, 'max': 89.0}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_1,tio1_sobr,tiene_sobrepeso_u_obes_tio_1,¿Tiene sobrepeso u obesidad? (Tío 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_2,tio2_sobr,tiene_sobrepeso_u_obes_tio_2,¿Tiene sobrepeso u obesidad? (Tío 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_3,tio3_sobr,tiene_sobrepeso_u_obes_tio_3,¿Tiene sobrepeso u obesidad? (Tío 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_4,tio4_sobr,tiene_sobrepeso_u_obes_tio_4,¿Tiene sobrepeso u obesidad? (Tío 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_5,tio5_sobr,tiene_sobrepeso_u_obes_tio_5,¿Tiene sobrepeso u obesidad? (Tío 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_6,tio6_sobr,tiene_sobrepeso_u_obes_tio_6,¿Tiene sobrepeso u obesidad? (Tío 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_7,tio7_sobr,tiene_sobrepeso_u_obes_tio_7,¿Tiene sobrepeso u obesidad? (Tío 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
